level,page_num,block_num,par_num,line_num,word_num,left,top,width,height,conf,text,page
5,1,3,3,1,10,962,901,51,28,96.807175,two,1
5,1,3,3,2,1,208,926,72,37,56.455742,facts:,1
5,1,3,3,2,2,292,931,51,25,56.455742,that,1
5,1,3,3,2,3,353,931,40,24,96.236237,the,1
5,1,3,3,2,4,403,931,85,24,96.63694,word,1
5,1,3,3,2,5,490,931,43,24,96.529427,‘art’,1
5,1,3,3,2,6,544,931,20,25,95.36515,is,1
5,1,3,3,2,7,582,940,7,15,95.36515,a,1
5,1,3,3,2,8,598,931,85,25,96.671379,word,1
5,1,3,3,2,9,676,940,26,16,96.671379,in,1
5,1,3,3,2,10,713,940,115,16,96.372993,common,1
5,1,3,3,2,11,838,941,51,21,96.922447,"use,",1
5,1,3,3,2,12,901,932,48,25,96.987747,and,1
5,1,3,3,2,13,961,925,52,31,96.854095,that,1
5,1,3,3,3,1,210,966,25,35,93.427719,it,1
5,1,3,3,3,2,238,967,19,32,96.017235,is,1
5,1,3,3,3,3,268,966,59,25,91.194382,used,1
5,1,3,3,3,4,338,966,154,33,87.514214,equivocally.,1
5,1,3,3,3,5,514,966,38,25,94.472359,If,1
5,1,3,3,3,6,546,972,19,19,94.472359,it,1
5,1,3,3,3,7,574,961,49,30,96.861916,had,1
5,1,3,3,3,8,633,972,43,19,96.807205,not,1
5,1,3,3,3,9,687,967,61,25,96.807205,been,1
5,1,3,3,3,10,760,976,12,16,31.335278,a,1
5,1,3,3,3,11,779,964,88,28,31.335278,‘word,1
5,1,3,3,3,12,862,977,24,15,96.902969,in,1
5,1,3,3,3,13,897,976,115,16,96.903763,common,1
5,1,3,3,4,1,210,997,50,39,94.91713,"use,",1
5,1,3,3,4,2,273,1011,36,16,94.91713,we,1
5,1,3,3,4,3,323,1002,71,25,96.976982,could,1
5,1,3,3,4,4,406,1002,61,24,95.738869,have,1
5,1,3,3,4,5,480,1002,103,25,96.092545,decided,1
5,1,3,3,4,6,595,1002,39,25,96.841179,for,1
5,1,3,3,4,7,647,1003,121,25,96.959541,ourselves,1
5,1,3,3,4,8,781,1004,72,24,96.08786,when,1
5,1,3,3,4,9,868,1009,24,19,96.085838,to,1
5,1,3,3,4,10,906,1004,88,35,96.085838,apply,1
5,1,3,3,4,11,994,1004,19,24,96.989082,it,1
5,1,3,3,5,1,210,1033,53,37,94.345421,and,1
5,1,3,3,5,2,270,1035,74,27,94.345421,when,1
5,1,3,3,5,3,354,1043,25,27,96.353806,to,1
5,1,3,3,5,4,392,1036,78,26,96.353806,refuse,1
5,1,3,3,5,5,484,1038,25,25,48.945671,it.,1
5,1,3,3,5,6,518,1037,68,26,48.945671,But,1
5,1,3,3,5,7,592,1037,48,26,96.410233,the,1
5,1,3,3,5,8,649,1038,111,34,96.592186,problem,1
5,1,3,3,5,9,772,1048,37,15,96.984917,we,1
5,1,3,3,5,10,822,1048,40,16,96.855019,are,1
5,1,3,3,5,11,875,1035,139,29,96.976669,concerned,1
5,1,3,3,6,1,210,1067,77,31,96.277817,with,1
5,1,3,3,6,2,281,1083,20,15,96.277817,is,1
5,1,3,3,6,3,315,1079,43,19,96.845413,not,1
5,1,3,3,6,4,370,1082,47,16,96.989204,one,1
5,1,3,3,6,5,430,1074,52,24,96.985924,that,1
5,1,3,3,6,6,496,1082,43,16,96.846237,can,1
5,1,3,3,6,7,554,1074,30,25,96.987968,be,1
5,1,3,3,6,8,598,1075,173,32,96.755035,approached,1
5,1,3,3,6,9,766,1084,24,16,96.098915,in,1
5,1,3,3,6,10,805,1076,52,24,96.098915,that,1
5,1,3,3,6,11,866,1084,65,32,89.219757,way.,1
5,1,3,3,6,12,955,1072,19,48,86.423172,It,1
5,1,3,3,6,13,993,1084,20,16,86.423172,is,1
5,1,3,3,7,1,211,1118,46,16,97.001778,one,1
5,1,3,3,7,2,266,1109,29,25,96.956299,of,1
5,1,3,3,7,3,301,1110,68,24,96.427505,those,1
5,1,3,3,7,4,378,1109,122,33,96.439545,problems,1
5,1,3,3,7,5,508,1110,81,25,96.484306,where,1
5,1,3,3,7,6,596,1111,65,24,96.814713,what,1
5,1,3,3,7,7,668,1119,36,16,96.957901,we,1
5,1,3,3,7,8,711,1116,66,20,96.957901,want,1
5,1,3,3,7,9,786,1116,26,20,97.004814,to,1
5,1,3,3,7,10,819,1105,20,44,96.773109,do,1
5,1,3,3,7,11,865,1120,20,16,96.92292,is,1
5,1,3,3,7,12,895,1117,24,19,96.645561,to,1
5,1,3,3,7,13,928,1111,86,34,96.348984,clarify,1
5,1,3,3,8,1,210,1145,48,25,92.255516,and,1
5,1,3,3,8,2,278,1145,151,33,92.108498,systematize,1
5,1,3,3,8,3,448,1145,66,26,96.918976,ideas,1
5,1,3,3,8,4,534,1155,37,16,95.969948,we,1
5,1,3,3,8,5,592,1146,96,33,95.774414,already,1
5,1,3,3,8,6,707,1156,108,24,95.774414,possess;,1
5,1,3,3,8,7,838,1148,176,33,96.831024,consequently,1
5,1,3,3,9,1,211,1182,66,24,96.650291,there,1
5,1,3,3,9,2,288,1181,19,25,94.304413,is,1
5,1,3,3,9,3,319,1190,31,15,94.304413,no,1
5,1,3,3,9,4,362,1181,69,33,96.721115,point,1
5,1,3,3,9,5,442,1181,24,25,96.721115,in,1
5,1,3,3,9,6,477,1182,74,33,96.946159,using,1
5,1,3,3,9,7,561,1182,80,25,96.804672,words,1
5,1,3,3,9,8,652,1183,132,33,96.967163,according,1
5,1,3,3,9,9,795,1188,25,20,96.934692,to,1
5,1,3,3,9,10,832,1192,13,16,96.934692,a,1
5,1,3,3,9,11,857,1184,92,32,96.941315,private,1
5,1,3,3,9,12,960,1184,54,24,96.996162,rule,1
5,1,3,3,10,1,210,1217,29,24,96.476875,of,1
5,1,3,3,10,2,250,1226,44,15,96.159134,our,1
5,1,3,3,10,3,308,1226,62,21,95.888329,"own,",1
5,1,3,3,10,4,384,1226,37,15,96.892883,we,1
5,1,3,3,10,5,435,1223,66,19,96.275894,must,1
5,1,3,3,10,6,515,1226,44,16,96.370918,use,1
5,1,3,3,10,7,574,1218,67,25,96.639771,them,1
5,1,3,3,10,8,655,1218,24,25,96.782181,in,1
5,1,3,3,10,9,695,1227,14,16,96.819221,a,1
5,1,3,3,10,10,722,1228,52,24,96.992943,way,1
5,1,3,3,10,11,787,1219,81,25,96.703629,which,1
5,1,3,3,10,12,883,1220,39,25,96.675827,fits,1
5,1,3,3,10,13,938,1228,33,16,96.393753,on,1
5,1,3,3,10,14,987,1225,27,19,95.901558,to,1
5,1,3,3,11,1,210,1261,112,16,96.491722,common,1
5,1,3,3,11,2,335,1261,81,25,96.491722,usage.,1
5,1,3,3,11,3,437,1253,62,25,96.479973,This,1
5,1,3,3,11,4,512,1254,70,33,96.586426,again,1
5,1,3,3,11,5,595,1255,81,24,97.012718,would,1
5,1,3,3,11,6,689,1255,61,24,96.762756,have,1
5,1,3,3,11,7,764,1255,61,24,96.478943,been,1
5,1,3,3,11,8,839,1264,62,25,97.003624,"easy,",1
5,1,3,3,11,9,916,1255,45,25,96.994247,but,1
5,1,3,3,11,10,974,1255,39,26,96.500603,for,1
5,1,3,3,12,1,210,1289,41,24,96.620216,the,1
5,1,3,3,12,2,263,1285,48,28,96.620216,fact,1
5,1,3,3,12,3,322,1289,52,24,96.327583,that,1
5,1,3,3,12,4,386,1297,113,26,96.187164,common,1
5,1,3,3,12,5,511,1298,76,25,96.187164,usage,1
5,1,3,3,12,6,599,1290,20,25,96.846802,is,1
5,1,3,3,12,7,632,1290,155,34,96.469246,ambiguous.,1
5,1,3,3,12,8,810,1291,55,29,96.370308,The,1
5,1,3,3,12,9,877,1291,88,29,96.370308,word,1
5,1,3,3,12,10,968,1292,45,25,95.783234,‘art’,1
5,1,3,3,13,1,211,1333,82,17,96.91478,means,1
5,1,3,3,13,2,303,1320,93,29,96.697655,several,1
5,1,3,3,13,3,401,1323,112,27,95.454704,different,1
5,1,3,3,13,4,522,1326,94,33,93.244362,things;,1
5,1,3,3,13,5,630,1326,94,25,92.968491,and.we,1
5,1,3,3,13,6,733,1327,61,24,96.527321,have,1
5,1,3,3,13,7,803,1330,25,21,96.527321,to,1
5,1,3,3,13,8,838,1327,85,25,96.751328,decide,1
5,1,3,3,13,9,932,1328,82,24,96.905029,which,1
5,1,3,3,14,1,210,1360,28,25,96.23188,of,1
5,1,3,3,14,2,247,1361,66,24,96.23188,these,1
5,1,3,3,14,3,325,1369,85,25,43.217712,usages,1
5,1,3,3,14,4,423,1361,20,25,43.217712,"is,",1
5,1,3,3,14,5,455,1361,41,25,92.931297,the,1
5,1,3,3,14,6,508,1370,47,16,96.959457,one,1
5,1,3,3,14,7,567,1363,53,24,96.433754,that,1
5,1,3,3,14,8,632,1362,111,25,96.433754,interests,1
5,1,3,3,14,9,754,1371,38,17,96.3452,us.,1
5,1,3,3,14,10,816,1363,140,31,96.714989,"Moreover,",1
5,1,3,3,14,11,971,1364,42,24,96.714989,the,1
5,1,3,3,15,1,210,1396,68,25,97.000305,other,1
5,1,3,3,15,2,293,1405,86,25,97.000305,usages,1
5,1,3,3,15,3,395,1402,66,20,96.688889,must,1
5,1,3,3,15,4,477,1403,43,19,96.95446,not,1
5,1,3,3,15,5,536,1398,30,25,96.729942,be,1
5,1,3,3,15,6,583,1398,89,34,96.377975,simply,1
